,Faculty_member,Prof_by_Similarity,cosine_sim_scores
0,Bei Yu,Radhika Garg,0.43198226993062283
1,,Rachel Clarke,0.38578559073866103
2,,Ping Zhang,0.36437688623531794
3,,Murali Venkatesh,0.36147252842571354
4,,Michelle L Kaarst-Brown,0.35217781496374634
5,Beth Patin,Radhika Garg,0.2873026544168581
6,,Rachel Clarke,0.23573463087045463
7,,Ping Zhang,0.20084301706207072
8,,Murali Venkatesh,0.16987878364313727
9,,Michelle L Kaarst-Brown,0.14952212947810545
10,Bruce Kingma,Radhika Garg,0.25773970262784535
11,,Rachel Clarke,0.198825048644264
12,,Ping Zhang,0.17953073166612232
13,,Murali Venkatesh,0.17212813062127616
14,,Michelle L Kaarst-Brown,0.1702009404167284
15,Bryan C Semaan,Radhika Garg,0.5362859497477781
16,,Rachel Clarke,0.4682205385889759
17,,Ping Zhang,0.44059925375589315
18,,Murali Venkatesh,0.4343896228899746
19,,Michelle L Kaarst-Brown,0.4212415392436642
20,Carlos Enrique Caicedo Bastidas,Radhika Garg,0.3441899199125088
21,,Rachel Clarke,0.3143195991162281
22,,Ping Zhang,0.3074054215797467
23,,Murali Venkatesh,0.2970513480313829
24,,Michelle L Kaarst-Brown,0.2791952584454045
25,Caroline Haythornthwaite,Radhika Garg,0.3950716431896659
26,,Rachel Clarke,0.3877318204400703
27,,Ping Zhang,0.3836678055622424
28,,Murali Venkatesh,0.3332861814323652
29,,Michelle L Kaarst-Brown,0.3298580171628021
30,Carsten Oesterlund,Radhika Garg,0.5563764410372574
31,,Rachel Clarke,0.428016090100666
32,,Ping Zhang,0.3726181140411325
33,,Murali Venkatesh,0.33745610529773606
34,,Michelle L Kaarst-Brown,0.33653345538199825
35,Daniel Acuna,Radhika Garg,0.37299977857430716
36,,Rachel Clarke,0.34247122673233266
37,,Ping Zhang,0.3125127838284872
38,,Murali Venkatesh,0.27100999526258635
39,,Michelle L Kaarst-Brown,0.2645419489897135
40,Ingrid Erickson,Radhika Garg,0.4457212038839537
41,,Rachel Clarke,0.44059925375589315
42,,Ping Zhang,0.3590416772258175
43,,Murali Venkatesh,0.35269842756051806
44,,Michelle L Kaarst-Brown,0.33436552913551726
45,Jason Dedrick,Radhika Garg,0.3073101193876541
46,,Rachel Clarke,0.25407629993642544
47,,Ping Zhang,0.25249892120192835
48,,Murali Venkatesh,0.2517069832720079
49,,Michelle L Kaarst-Brown,0.2502174023048928
50,Jeffrey Hemsley,Radhika Garg,0.5362859497477781
51,,Rachel Clarke,0.42688438912354343
52,,Ping Zhang,0.3914626340813094
53,,Murali Venkatesh,0.3877318204400703
54,,Michelle L Kaarst-Brown,0.38578559073866103
55,Jeffrey M Stanton,Radhika Garg,0.5250049252583213
56,,Rachel Clarke,0.39279707484696924
57,,Ping Zhang,0.3917821750500438
58,,Murali Venkatesh,0.39096178035355295
59,,Michelle L Kaarst-Brown,0.3832379719017849
60,Jeffrey Saltz,Radhika Garg,0.559110564642273
61,,Rachel Clarke,0.5075178191094244
62,,Ping Zhang,0.3808483226249152
63,,Murali Venkatesh,0.33653345538199825
64,,Michelle L Kaarst-Brown,0.2867391203876962
65,Jennifer Stromer-Galley,Radhika Garg,0.4343896228899746
66,,Rachel Clarke,0.42688438912354343
